sample_id	ras_score	tp53_score	ras_shuffle	tp53_shuffle
ALL-102	0.5059794565343622	0.42752781153863756	0.428254958294817	0.48650449964146286
ALL-105	0.4068675970535211	0.5192000886546672	0.587999619307204	0.6041262502327948
ALL-106	0.4346442053959944	0.36194632184183856	0.40268546144483125	0.6108870002344466
ALL-107	0.368964058231175	0.42765567026212487	0.4536839057127176	0.6282272927288788
ALL-108	0.43609021156100597	0.44871274876698675	0.44044378999957706	0.3310533575644386
ALL-11	0.38847959944846355	0.42344021559189643	0.3980657204824817	0.544487506212706
ALL-115	0.4426469627596648	0.35401160365798223	0.37620925332916516	0.27274969045247643
ALL-116	0.6437830859236069	0.2433331147751639	0.5343447966094738	0.534183863306516
ALL-117	0.35722450231839525	0.3766971070169804	0.4291150040490985	0.693470243904921
ALL-118	0.5419646021264756	0.2702217042594169	0.47596724344485103	0.5243055326982385
ALL-121	0.5776443038963016	0.6535054749059487	0.4501409707261938	0.45780796417441333
ALL-122	0.3184658061116807	0.6296969704412294	0.2933380567333032	0.36146915005985053
ALL-123	0.43720798464342703	0.32725717606505683	0.7288156565901737	0.5663970209656616
ALL-16	0.4546010888208812	0.42352274848030314	0.640580232763798	0.6231981169823028
ALL-17	0.4264946391877936	0.3062335755374101	0.377723091439576	0.6336915120812315
ALL-26	0.3851067485698807	0.6201702381439298	0.4839150394174072	0.7038389014911623
ALL-28	0.3949990619546449	0.2587954597845533	0.5226406329362794	0.4529893328505587
ALL-29	0.3404419639155737	0.4122519975308435	0.7214549970733225	0.3843034612801686
ALL-33	0.44626841644924975	0.4064996016653679	0.6280085649086081	0.39768481732443667
ALL-39	0.3851400007907804	0.3193126565630983	0.5375353647469149	0.7102745277294433
ALL-43	0.5291988556098071	0.28867854990692243	0.2585563972786622	0.5496071554412487
ALL-46	0.4411266875222026	0.5992315884810876	0.5042651306696239	0.47170187781038286
ALL-51	0.5515275353232355	0.3460283795398971	0.5104146403391869	0.3129172904478753
ALL-52	0.4632108367351957	0.23429377008904057	0.59913542773065	0.6246627532467024
ALL-53	0.31378767223702864	0.3901134698213254	0.40413221549649025	0.3775433178310095
ALL-54	0.49511548308837494	0.5135297868806644	0.6075957774725971	0.5663144653810438
ALL-55	0.6761951819129731	0.09356184618602774	0.4458451096894021	0.42631219294413
ALL-58	0.40110906960773896	0.39929406384357136	0.6630548937425509	0.49209187771443846
ALL-60	0.35228497137194537	0.3034652217798747	0.48209840591758374	0.49053822072682424
ALL-61	0.37536034007897573	0.5223172993920859	0.5460646383642932	0.5380091890168299
ALL-75	0.42873642068932344	0.4771424578257671	0.5203251611240705	0.32878530330072725
ALL-80	0.4330208571042311	0.6029356846445425	0.5684776189453682	0.8055317661797675
ALL-81	0.40132020389008966	0.5448270243830836	0.558134514820132	0.3388000405849973
ALL-87	0.4824034157909362	0.5525229660316637	0.4124598904716566	0.609461691549095
ALL-90	0.49151888800175125	0.1129224077574833	0.7847297481054244	0.5614837143521367
ALL-94	0.4050261849123861	0.32715590811077044	0.4680100052854842	0.37712059262821285
ALL-95	0.5082210548547152	0.2523889612270514	0.567439138048566	0.57529039811034
ALL-97	0.3682296724837248	0.4775592688972154	0.414654761768169	0.3089116591607137
HSJD-DIPG001	0.4712032077242789	0.4433603028821817	0.604789748331617	0.4622008619687162
RA-021-HRE	0.5757829615175531	0.5283879859333817	0.42642620169160933	0.5078401479521515
SU-DIPG-VI-LUC	0.40973767204625866	0.45627306673547735	0.6949273375265524	0.49877153094733107
PAKYEP	0.38152232768352473	0.5660388053827995	0.6863865526101269	0.4424705928421168
ALL-02	0.43446500430865903	0.31427552584861074	0.5166779410927271	0.6120054806807458
