sample_id	ras_score	tp53_score	nf1_score	ras_shuffle	tp53_shuffle	nf1_shuffle
ALL-102	0.5189810048237313	0.4456803298191858	0.5123749471104602	0.5381111697987225	0.47805743649404375	0.4550176564719055
ALL-105	0.4122435067524153	0.5357913799465832	0.4531735133228447	0.22324342761650096	0.6055405843900062	0.47622435682160646
ALL-106	0.4461147044092706	0.3803059958085536	0.41951082082743196	0.43086686709641014	0.6163662981200168	0.5062448781719876
ALL-107	0.37231337689634003	0.44301560112247396	0.4577669778887232	0.5457137485433622	0.7071497391280382	0.49366608632280246
ALL-108	0.4384209765863864	0.4586127703402553	0.45474290165784864	0.3509024797028359	0.3258042148711192	0.6530597358600991
ALL-11	0.40071463028645254	0.44067149245185033	0.4078468144841139	0.4240391353241157	0.7852393734510649	0.4485406147545291
ALL-115	0.4516017861806566	0.3661996617658166	0.4319438630111084	0.5595199659405911	0.47920980052721956	0.5089160583855202
ALL-116	0.6494742337604326	0.26062453402613595	0.5074925548217091	0.6686785608024164	0.4911749010024458	0.4082150674313424
ALL-117	0.3584037477749462	0.3919097788443575	0.4490438282765723	0.2976846407674258	0.1952830743531923	0.4907575547956976
ALL-118	0.5462614916446927	0.28150493451330194	0.4703759789426201	0.5315960549552274	0.46165146906724486	0.5043251473843512
ALL-121	0.5729264168319259	0.6684046691281131	0.4217384360948737	0.4340922543310438	0.20225731086940543	0.5587028376680109
ALL-122	0.3267157756656758	0.6457384950548536	0.4792204511963321	0.8497859119943895	0.5191264830982166	0.42796595820922806
ALL-123	0.44324946126301557	0.33954552605926425	0.3984027258590392	0.6187537629041029	0.6221297274416475	0.40632533853543334
ALL-16	0.45929069250658205	0.43558690152445934	0.47262437604387963	0.4999565527391327	0.5907443128728525	0.3938850955758976
ALL-17	0.4274717218138123	0.31943017705759985	0.47749292712716074	0.49797299212940027	0.6226251356335787	0.462281603680281
ALL-26	0.40331493170064714	0.635777602497997	0.41612339971013784	0.507007782453051	0.3605864659923531	0.5499554632871204
ALL-28	0.397555639482482	0.26841459745691715	0.34362980842284224	0.5165592985880366	0.43006545801188995	0.4607897743849763
ALL-29	0.3431695543364007	0.4310731124226577	0.44774934859644994	0.8713217559243361	0.6642256286916429	0.4582970462393812
ALL-33	0.447058752646901	0.4243342470764988	0.4721164908695291	0.5868879395476777	0.6518621105419674	0.5148763749014071
ALL-39	0.3886632932453632	0.33115302478894404	0.4591151923342744	0.3910936415517251	0.49671540598600705	0.620560375245582
ALL-43	0.5331224348304441	0.2986205275511146	0.472135143843072	0.5589645344813591	0.5421270789154631	0.49988661463929734
ALL-46	0.4405010027928943	0.6101095241073186	0.44232093118791055	0.5723728221760688	0.43558134351674127	0.49294070533921325
ALL-51	0.5531327562195405	0.3579055474232343	0.47092622359055775	0.5298500842953594	0.5089098987152926	0.5129869453351333
ALL-52	0.4722699494023314	0.24507700600647314	0.48739367363609404	0.4336014067570305	0.7246348604638934	0.5561824890260845
ALL-53	0.3163929540283505	0.40563528712016195	0.4262985834718188	0.6651104144344517	0.7447119489073315	0.42934729700754976
ALL-54	0.4943152358384873	0.5289481450845978	0.4655176523357243	0.5924639014467549	0.5492497380855479	0.5332450385031291
ALL-55	0.6769429634236962	0.09877884370690712	0.4480848734730398	0.7824489025751978	0.33710343056644304	0.43822047556299504
ALL-58	0.40771885240737354	0.4145345180984007	0.42296892316380413	0.5182988625325077	0.6245825415202902	0.5423385892802522
ALL-60	0.35680083274718905	0.3181289340214552	0.4408609919036025	0.575383657182135	0.333777094487212	0.5667861138702041
ALL-61	0.378022954277556	0.5380929053529585	0.45553628324211065	0.4465117726186542	0.5972250459764903	0.31119725994234154
ALL-63	0.5174481993650604	0.5359291285041795	0.49593448400133966	0.4775099971913961	0.5440143816538798	0.3926463766641103
ALL-75	0.4433401648593542	0.4946168965578069	0.4905328306839237	0.4652423543101458	0.3103538465171891	0.38271244413593175
ALL-80	0.43691458774586833	0.6230116724209597	0.47849313542605765	0.5271014412173117	0.7049880877832851	0.4570631989374445
ALL-81	0.4034694639104655	0.5619175425401315	0.4691890126931305	0.4136509997519412	0.5309446088777727	0.47461590019559347
ALL-87	0.487737373212186	0.5688786708651794	0.4284385712809935	0.34137318283745965	0.3472837381104346	0.49443315751610006
ALL-90	0.49756870678486265	0.11833338599815327	0.44130226395768524	0.481634023181	0.46414014635279083	0.3887820383748818
ALL-94	0.4033862238415889	0.33522952642900566	0.4211693768135743	0.5043269560050804	0.422770904650922	0.5152878638267494
